0.	1.435183741276912e-14	0.	0.	0.
-0.05	8.41289944778072e-14	1.133020913340287e-7	3.9116402312921334e-7	1.0591227362294183e-6
-0.1	4.912548315654219e-13	1.3887326008687357e-7	4.812515252146609e-7	1.3285312236982107e-6
-0.15000000000000002	2.8505680169039242e-12	1.501487600712e-7	5.172468912791461e-7	1.4170994730893936e-6
-0.2	1.6369136990321425e-11	1.5911146409633837e-7	5.439831554473148e-7	1.4729733245526159e-6
-0.25	9.23875949992042e-11	1.6766077938947996e-7	5.687209951072974e-7	1.5215543850288082e-6
-0.30000000000000004	5.069253544669667e-10	1.7611227257660854e-7	5.92692620132399e-7	1.5671982815659584e-6
-0.35000000000000003	2.6601026525060644e-9	1.8453153319770691e-7	6.161696480760548e-7	1.6108713027759268e-6
-0.4	1.3052404449564571e-8	1.9294194387204388e-7	6.392566537160448e-7	1.65294600924849e-6
-0.45	5.8183916717386435e-8	2.013576609871558e-7	6.620187067758009e-7	1.6936528418927074e-6
-0.5	2.2673366723780737e-7	2.0978937540076886e-7	6.845046913434694e-7	1.733163975454819e-6
-0.55	7.287966010471311e-7	2.1824568699234304e-7	7.067534630076656e-7	1.7716159981988182e-6
-0.6000000000000001	1.8091201035770142e-6	2.2673366723780737e-7	7.287966010471311e-7	1.8091201035770142e-6
