0.	-0.6265511591393264
-0.01	-0.6168074693067322
-0.02	-0.6070647103429705
-0.03	-0.5973229749461246
-0.04	-0.5875823665321673
-0.05	-0.5778430005118576
-0.06	-0.5681050057188842
-0.07	-0.5583685260065698
-0.08	-0.548633722032263
-0.09	-0.5389007732505016
-0.1	-0.5291698801381194
-0.11	-0.5194412666766924
-0.12	-0.5097151831200709
-0.13	-0.4999919090771716
-0.14	-0.4902717569427058
-0.15	-0.48055507571102557
-0.16	-0.47084225521070977
-0.17	-0.461133730799811
-0.18	-0.45142998856369604
-0.19	-0.4417315710589971
-0.2	-0.4320390836481348
-0.21	-0.42235320146892635
-0.22	-0.41267467708262484
-0.23	-0.4030043488409699
-0.24	-0.3933431500079747
-0.25	-0.3836921186646582
-0.26	-0.3740524084140947
-0.27	-0.3644252998891857
-0.28	-0.3548122130455912
-0.29	-0.34521472019629457
-0.3	-0.33563455971124617
-0.31	-0.3260736502643553
-0.32	-0.3165341054597078
-0.33	-0.30701824860836274
-0.34	-0.2975286273557638
-0.35000000000000003	-0.2880680277774956
-0.36	-0.27863948746830547
-0.37	-0.26924630704742514
-0.38	-0.25989205939500326
-0.39	-0.2505805958241762
-0.4	-0.24131604828721562
-0.41000000000000003	-0.23210282662064988
-0.42	-0.22294560976389777
-0.43	-0.21384932985149205
-0.44	-0.2048191480948902
-0.45	-0.1958604214513752
-0.46	-0.1869786592396077
-0.47000000000000003	-0.17817946911674065
-0.48	-0.1694684921893963
-0.49	-0.16085132749278364
-0.5	-0.15233344663319734
-0.51	-0.14392010003405037
-0.52	-0.13561621692952652
-0.53	-0.1274263019790596
-0.54	-0.11935433209006532
-0.55	-0.11140365769384583
-0.56	-0.10357691328354413
-0.5700000000000001	-0.0958759424711241
-0.58	-0.0883017431581258
-0.59	-0.08085443869592973
-0.6	-0.07353328127013373
-0.61	-0.06633669445630999
-0.62	-0.059262363497146336
-0.63	-0.052307385397442396
-0.64	-0.045468498590830964
-0.65	-0.03874242848123888
-0.66	-0.03212642211892455
-0.67	-0.025619133514567682
-0.68	-0.019222255310244574
-0.6900000000000001	-0.01294401980246146
-0.7000000000000001	-0.00680856376955663
